Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0005,0.001,0.002,0.006,0.01,0.0107,0.0107,0.019,0.026,0.026,0.026,0.026,0.026
Afghanistan,AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0002,0.028,0.03,0.032,0.033,0.035,0.038,0.037,0.056,0.066,0.079,0.094,0.094
Africa,AFRC,0,0,0,5e-05,5e-05,5e-05,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0012,0.0012,0.0012,0.0042,0.0062,0.0283,0.0293,0.0303,0.0354,0.0415,0.0507,0.0588,0.0833,0.3999,0.3735,0.4678,0.4767,1.7548,3.1745,4.8157,6.4784,8.897,13.667,15.5153,18.2195,19.826481704,20.824332319
Angola,AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.011,0.014,0.015,0.017,0.018,0.0183,0.018,0.018,0.018,0.0183,0.018,0.387,0.387
Albania,ALB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.0008,0.0009,0.001,0.001,0.001,0.002,0.001,0.001,0.022,0.0323,0.041,0.161,0.297
United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.018,0.022,0.023,0.085,0.296,0.299,0.316,0.745,1.198,3.656,5.185,6.252,7.743,8
Argentina,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.002,0.008,0.015,0.016,0.0149,0.0139,0.0163,0.1075,0.7918,1.3312,2.181,2.9088461,3.2402389
Armenia,ARM,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.003,0.019,0.061,0.137,0.294,0.524,0.772
American Samoa,ASM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009,0.002,0.002,0.002,0.003,0.005,0.005,0.005,0.005,0.005,0.00504715,0.005
Asia & Oceania,ASOC,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.071,0.071,0.1025,0.1091,0.1201,0.1391,0.1671,0.20614,0.25925,0.3483,0.4278,0.5725,0.7955,1.0678,1.3772,1.713,2.0676,2.4309,2.9704,4.1482,5.9275,12.3662,20.6483,38.9307,65.2943,92.7466,143.2515,215.7876,305.3044,388.7948,478.1195,585.10591364,734.757756739,938.488612056
Antarctica,ATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0005,0.0005,0.0006,0.0006,0.0054,0.005,0.0061,0.01,0.013,0.016,0.0195,0.023,0.023
Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0.0104,0.011,0.013,0.016,0.019,0.023,0.028,0.034,0.038,0.044,0.05,0.059,0.069,0.079,0.091,0.109,0.127,0.16,0.389,1.392,2.325,3.476,4.01,5.023,7.0669,8.6839,12.2766,18.6301,24.5977,33.0061,37.7930641,45.3705062
Austria,AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.003,0.005,0.009,0.015,0.018,0.021,0.022,0.024,0.03,0.049,0.0844,0.1653,0.3222,0.598,0.7468,0.8891,1.0423,1.2115,1.3865,1.6303,1.9594521,2.6776719,3.6784441,3.6784439
Azerbaijan,AZE,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.003,0.005,0.035,0.037,0.039,0.044,0.047,0.055,0.061,0.067666667
Burundi,BDI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009,0.001,0.002,0.003,0.004,0.005,0.006,0.008,0.003,0.003,0.003,0.002,0.002,0.002
Belgium,BEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.002,0.006,0.042,0.166,0.56,1.169,2.131,2.624,2.8652,3.0342,3.0728,3.2841,3.8756,4.2229,5.0758,5.578,6.8256,7.2750511
Benin,BEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.005,0.005,0.005,0.008,0.007,0.017,0.01806305,0.033
Burkina Faso,BFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.009,0.009,0.01,0.011,0.013,0.016,0.029,0.085,0.091,0.09,0.093,0.093,0.093
Bangladesh,BGD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-05,5e-05,0.0001,0.0005,0.001,0.002,0.003,0.004,0.005,0.01,0.02,0.02,0.03,0.07,0.0618,0.09,0.129,0.164,0.198,0.22,0.253,0.315,0.374,0.459,0.613,0.866,1.067
Bulgaria,BGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.015,0.1,0.814,1.361,1.252,1.383,1.386,1.4028,1.3428,1.4425,1.4809,1.4666,2.003556,3.4297244
Bahrain,BHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008,0.0008,0.0083,0.0083,0.0083,0.0083,0.011,0.018,0.018,0.039,0.083,0.09
The Bahamas,BHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.0006,0.0009,0.002,0.002,0.002,0.002,0.0021,0.004,0.005,0.006,0.01,0.018,0.018
Bosnia and Herzegovina,BIH,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.008,0.009,0.024,0.021,0.021,0.03,0.045,0.072,0.117,0.162
Belarus,BLR,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.008,0.028,0.089,0.177,0.181,0.176,0.176,0.209,0.228541673
Belize,BLZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0009,0,0,0,0.0006,0.0006,0.0006,0.0006,0.0011,0.01,0.01,0.01,0.010873345,0.010873345
Bermuda,BMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,BOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.002,0.003,0.003,0.003,0.003,0.006,0.005,0.006,0.006,0.127,0.188,0.332,0.351,0.351,0.351
Brazil,BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.001,0.002,0.002,0.005,0.017,0.0587,0.0845,0.8271,3.4411,6.588,10.6423,16.5848,29.8251974,50.1265583
Barbados,BRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.003,0.003,0.004,0.01,0.014,0.023,0.032,0.033,0.044,0.066,0.0805,0.08309375,0.0856875
Brunei,BRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0.002,0.001,0.001,0.002,0.002,0.002,0.002,0.004,0.005,0.005
Bhutan,BTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,BWA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.002,0.003,0.003,0.005,0.005,0.006,0.006,0.006,0.006,0.006345756,0.006
Central African Republic,CAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0003,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0,0,0,0,0,0
Canada,CAN,0,0,0,0,0.008,0.023,0.033,0.034,0.022,0.026,0.026,0.032,0.035,0.036,0.036,0.037,0.038,0.039,0.042,0.045,0.048,0.051,0.054,0.056,0.044,0.045,0.04,0.049,0.05,0.133,0.281,0.592,0.899,1.499,2.115,2.879,4.011,3.544,3.779,4.04,4.2376,5.063,5.6799999,8.313413
Switzerland,CHE,0,0,0,0,0,0,0,0,0,0,0.001,0.002,0.003,0.004,0.005,0.005,0.006,0.008,0.008,0.009,0.011,0.012,0.014,0.017,0.017,0.019,0.023,0.027,0.034,0.05,0.094,0.168,0.3,0.5,0.842,1.119,1.333,1.6832,1.9451,2.1777,2.598659,2.8420028,3.7980385,6.0451482
Chile,CHL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0.48,1.238,2.59,3.8427,5.1218,6.3005,7.53,10.565,15.714,17.9425664
China,CHN,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0.003,0.004,0.005,0.007,0.009,0.011,0.014,0.017,0.02,0.024,0.04,0.063,0.068,0.074,0.084,0.105,0.152,0.392,0.707,2.617,6.366,15.485,29.238,38.351,64.544,114.317,175.2543,222.8507,268.333,326.4369,427.277,584.157
Ivory Coast,CIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0002,0.0002,0.0002,0.0005,0.002,0.002,0.002,0.002,0.003,0.004,0.005,0.007,0.007,0.011,0.018,0.018,0.018,0.018
Cameroon,CMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.003,0.004,0.005,0.008,0.01,0.012,0.016,0.02,0.02,0.02,0.022,0.022,0.022397797
Congo-Kinshasa,COD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.001,0.001,0.001,0.005,0.007,0.011,0.012,0.017,1.055,2.114,2.2
Congo-Brazzaville,COG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0.0003,0.0003,0.001,0.001,0.001,0.001,0.001,0.001,0.0012,0.0012,0.01
Cook Islands,COK,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0008,0.0014,0.0035,0.0047,0.007,0.016,0.015,0.013,0.0159,0.0159,0.0159
Colombia,COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.006,0.006,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.008,0.008,0.008,0.008,0.0089,0.0089,0.0089,0.0142,0.0208,0.1333,0.1946,0.3252,0.635,1.1303919
Comoros,COM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
