Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41214163312794e-07,1.70607081656397e-06,3.41214163312794e-06,6.82428326625588e-06,2.047284979876764e-05,3.41214163312794e-05,3.6509915474468956e-05,3.6509915474468956e-05,6.483069102943086e-05,8.871568246132644e-05,8.871568246132644e-05,8.871568246132644e-05,8.871568246132644e-05,8.871568246132644e-05
Afghanistan,AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.82428326625588e-07,6.82428326625588e-07,9.553996572758232e-05,0.0001023642489938382,0.00010918853226009408,0.00011260067389322201,0.0001194249571594779,0.00012966138205886172,0.00012624924042573378,0.00019107993145516463,0.00022520134778644403,0.00026955918901710725,0.00032074131351402636,0.00032074131351402636
Africa,AFRC,0,0,0,1.70607081656397e-07,1.70607081656397e-07,1.70607081656397e-07,3.41214163312794e-07,3.41214163312794e-07,3.41214163312794e-07,3.41214163312794e-07,3.41214163312794e-07,3.41214163312794e-07,3.41214163312794e-07,3.41214163312794e-07,3.41214163312794e-07,6.82428326625588e-07,6.82428326625588e-07,4.094569959753528e-06,4.094569959753528e-06,4.094569959753528e-06,1.4330994859137349e-05,2.1155278125393226e-05,9.65636082175207e-05,9.997574985064865e-05,0.00010338789148377659,0.00012078981381272908,0.0001416038777748095,0.00017299558079958655,0.00020063392802792287,0.0002842313980395574,0.0013645154390878632,0.0012744348999732856,0.0015961998559772504,0.001626567916512089,0.005987626137812909,0.010831843614364645,0.016431850462654222,0.022105218356056045,0.030357824109939282,0.046633739699959556,0.05294040108046993,0.062167514484774505,0.06765076366066779,0.0710555712877516
Angola,AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41214163312794e-05,3.753355796440734e-05,4.776998286379116e-05,5.11821244969191e-05,5.800640776317498e-05,6.141854939630292e-05,6.244219188624131e-05,6.141854939630292e-05,6.141854939630292e-05,6.141854939630292e-05,6.244219188624131e-05,6.141854939630292e-05,0.0013204988120205127,0.0013204988120205127
Albania,ALB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70607081656397e-06,2.729713306502352e-06,3.070927469815146e-06,3.41214163312794e-06,3.41214163312794e-06,3.41214163312794e-06,6.82428326625588e-06,3.41214163312794e-06,3.41214163312794e-06,7.506711592881468e-05,0.00011021217475003246,0.00013989780695824555,0.0005493548029335984,0.0010134060650389982
United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.047284979876764e-05,6.141854939630292e-05,7.506711592881468e-05,7.847925756194262e-05,0.0002900320388158749,0.0010099939234058703,0.001020230348305254,0.001078236756068429,0.0025420455166803154,0.004087745676487272,0.012474789810715748,0.01769195436776837,0.02133270949031588,0.02642021266530964,0.02729713306502352
Argentina,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41214163312794e-07,3.41214163312794e-07,3.41214163312794e-07,3.41214163312794e-07,3.41214163312794e-07,3.41214163312794e-07,3.41214163312794e-07,6.82428326625588e-06,2.729713306502352e-05,5.11821244969191e-05,5.459426613004704e-05,5.084091033360631e-05,4.7428768700478366e-05,5.5617908619985424e-05,0.00036680522556125354,0.0027017337451107027,0.004542242942019914,0.007441880901852037,0.00992539488217184,0.01105615405197068
Armenia,ARM,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41214163312794e-06,1.023642489938382e-05,6.483069102943086e-05,0.00020814063962080434,0.0004674634037385278,0.0010031696401396144,0.0017879622157590406,0.0026341733407747696
American Samoa,ASM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.070927469815146e-06,6.82428326625588e-06,6.82428326625588e-06,6.82428326625588e-06,1.023642489938382e-05,1.70607081656397e-05,1.70607081656397e-05,1.70607081656397e-05,1.70607081656397e-05,1.70607081656397e-05,1.7221590643641682e-05,1.70607081656397e-05
Asia & Oceania,ASOC,0,0,0,0,0,0,3.41214163312794e-06,3.41214163312794e-06,3.41214163312794e-06,3.41214163312794e-06,0.00024226205595208374,0.00024226205595208374,0.00034974451739561385,0.00037226465217425825,0.0004097982101386656,0.00047462890116809647,0.0005701688668956787,0.0007033788762529935,0.0008845977183884184,0.0011884489308184615,0.0014597141906521327,0.0019534510849657455,0.0027143586691532762,0.0036434848358540143,0.004699201457143799,0.005844998617548162,0.0070549440406553286,0.008294575095970709,0.010135425507043234,0.01415424592254132,0.020225469530365865,0.04219522586358673,0.07045492408331565,0.13283706227681388,0.22279339943594564,0.3164645351910638,0.4887944071580271,0.7362978538727587,1.041741854017146,1.3266229238236509,1.6314114515603142,1.996464247720405,2.5070975320328333,3.2022560654127337
